시간,제목,링크
2026-01-22 02:50,나무위키namu.wiki›인공지능,https://namu.wiki/w/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,"인공지능(人工智能, artificial intelligence/AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현시키는 컴퓨터과학 의 분야로, 인간의 지능을 기계 등에 인공적으로 구현한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 혹은 이와 같은 지능을 만들 수 있는 방법론이나 실현 가능성 등을 연구하는 과학 기술 분야를 지칭하는 표현이기도 하다...",https://namu.wiki/w/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,위키백과 한국어ko.wikipedia.org›인공지능,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,"인공지능 (人工智能, 영어: artificial intelligence, AI )은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. 정보공학 분야에 있어 하나의 인프라 기술이기도 하다. 인간을 포함한 동물이 갖고 있는 지능 즉, 자연 지능(natural intelligence)과는 다른 개념이다. 인간의 지능을 모방한 기능을 갖춘 컴퓨터 시스템이며, 인간의 지능을 기계 등에 인공적으로 시연(구현)한 것이다. 일반적으로 범용 컴퓨터에 적용한다고 가정한다. 이 용어는 또한 그와 같은 지능을 만들 수 있는 방법론이나 실현 가능성 등을 연구하는 과학 기술 분야를 지칭하기도 한다. 강인공지능과 약인공지능 초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존...",https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,인공지능 기술의 실용적인 응용,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5#%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5_%EA%B8%B0%EC%88%A0%EC%9D%98_%EC%8B%A4%EC%9A%A9%EC%A0%81%EC%9D%B8_%EC%9D%91%EC%9A%A9
2026-01-22 02:50,인공지능의 개요 - 위키백과 한국어,https://ko.wikipedia.org/wiki/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%EC%9D%98_%EA%B0%9C%EC%9A%94
2026-01-22 02:50,국가법령정보센터www.law.go.kr›lsInfoP,https://www.law.go.kr/lsInfoP.do?lsiSeq=268543+
2026-01-22 02:50,법령 > 본문 > 인공지능 발전과 신뢰 기반 조성 등에 관한 기본법,https://www.law.go.kr/lsInfoP.do?lsiSeq=268543+
2026-01-22 02:50,제1조(목적) 이 법은 인공지능의 건전한 발전과 신뢰 기반 조성에 필요한 기본적인 사항을 규정함으로써 국민의 권익과 존엄성을 보호하고 국민의 삶의 질 향상과 국가경쟁력을 강화하는 데 이바지함을 목적으로 한다.,https://www.law.go.kr/lsInfoP.do?lsiSeq=268543+
2026-01-22 02:50,TTA정보통신용어사전terms.tta.or.kr›인공지능,https://terms.tta.or.kr/dictionary/dictionaryView.do?subject=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,인공 지능 - TTA정보통신용어사전,https://terms.tta.or.kr/dictionary/dictionaryView.do?subject=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,"컴퓨터로 구현한 지능 또는 이와 관련한 전산학의 연구 분야. 인공 지능은 사람 또는 동물의 지능이 컴퓨터로 모사될 정도로 세밀하고 정확하게 표현될 수 있다는 생각에 기반을 둔다. 지능에 대한 정의와 마찬가지로 인공 지능에 대해서도 다양한 정의가 존재한다. 인공 지능의 방법과 관련한 탐색, 논리 및 추론, 지식 표현, 계획, 학습 등 세부 분야에 대한 연구가 진행 중이고, 자연어 처리, 컴퓨터 비전 및 패턴 인식 , 로보틱스 등의 분야에서 응용된다.",https://terms.tta.or.kr/dictionary/dictionaryView.do?subject=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5
2026-01-22 02:50,교육부 국립특수교육원www.nise.go.kr›sedu,https://www.nise.go.kr/sedu/pw/pw2/pw2_1/page01.html
2026-01-22 02:50,1. 인공지능이란 무엇일까요?,https://www.nise.go.kr/sedu/pw/pw2/pw2_1/page01.html
2026-01-22 02:50,"활동 목표 인공지능의 의미를 이해하고, 생활 속 인공지능을 알아보고 체험하는 과정을 통해 인공지능의 필요성을 이해할 수 있습니다.",https://www.nise.go.kr/sedu/pw/pw2/pw2_1/page01.html
2026-01-22 02:50,[자막뉴스] 인공지능 대부와 놀라운 만남...현대차 미래 그릴 '기술 동맹' / YTN,https://www.youtube.com/watch?v=1keBIaldCUc
2026-01-22 02:50,www.sas.com›what-is-artificial-intelligence,https://www.sas.com/ko_kr/insights/analytics/what-is-artificial-intelligence.html
2026-01-22 02:50,artificial intelligence,https://www.sas.com/ko_kr/insights/analytics/what-is-artificial-intelligence.html
2026-01-22 02:50,Google Cloudcloud.google.com›what-is-artificial-intelligence,https://cloud.google.com/learn/what-is-artificial-intelligence?hl=ko
2026-01-22 02:50,인공지능(AI)이란 무엇인가요?,https://cloud.google.com/learn/what-is-artificial-intelligence?hl=ko
2026-01-22 02:50,"휴대전화가 어떻게 얼굴을 인식하고, 스트리밍 서비스가 다음에 좋아할 영화를 정확히 파악하며, 자동차가 어떻게 스스로 운전할 수 있는지 궁금한 적이 있나요? 정답은 인공지능(AI)입니다. AI는 공상과학 소설에 나오는 이야기가 아니며, 우리가 알고 즐겨 사용하는 챗봇에만 국한되지 않고 수많은 방식으로 일상 생활의 일부가 되었습니다. AI는 이 시대의 가장 혁신적인 기술 중 하나로, 현대 혁신의 엔진 역할을 하고 있습니다.",https://cloud.google.com/learn/what-is-artificial-intelligence?hl=ko
2026-01-22 02:50,AI기본법 내일부터 시행…생성형 AI 결과물 '워터마크' 부착해야,https://www.newsis.com/view/NISX20260121_0003484769
2026-01-22 02:50,"내일부터 챗GPT, 제미나이 등 생성형 인공지능(AI) 서비스를 통해 만들어져 외부로 유통되는 이미지·영상·음성에는 ‘AI 생성물’임을 알리는 표시가 적용된다. 또 에너지·먹는물·의료·교통 등 생명이나 안전, 기본권에 중대한 영향을 미치는 영역에서 활용되는 고영향 AI 운영 사업자는 해당 여부를 사전에...",https://www.newsis.com/view/NISX20260121_0003484769
2026-01-22 02:50,"경기도, 올해 안으로 인공지능(AI) 기반 ‘이주민 포털’ 구축",http://www.inews24.com/view/1930443
2026-01-22 02:50,"경기도, 올해 안으로 인공지능(AI) 기반 ‘이주민 포털’ 구축경기도가 체류기간 연장 방법 문의나 거주지 인근 병원, 교육 정보 등 생활정보를 얻고 싶지만 방법을 모르는 외국인 이주민을 위한 인공지능 기반 '이주민 포털'을 개설한다. 도는 올해 행정기관을 직접 방문하지 않고도 AI 챗봇을 통해 원하는...",http://www.inews24.com/view/1930443
2026-01-22 02:50,"경기도, 인공지능 기반 '이주민 포털' 구축…5월 개통",https://www.newsis.com/view/NISX20260121_0003485373
2026-01-22 02:50,"경기도, 인공지능(AI) 기반 '이주민 포털' 구축",https://www.mt.co.kr/policy/2026/01/21/2026012109413022047
2026-01-22 02:50,"파수, KIST에 '엘름' 기반 인공지능 서비스 구축",https://www.pointdaily.co.kr/news/articleView.html?idxno=289599
2026-01-22 02:50,사진=파수  파수는 한국과학기술연구원(KIST)에 구축형 인공지능(AI) 플랫폼 '엘름(Ellm)' 기반의 AI 서비스를 구축했다고 21일 밝혔다. 파수는 자사 보안 기술과 최신 AI 역량을 결합해 KIST의 행정 업무 효율화와 연구 속도 향상을 지원한다. 이번 사업을 통해 KIST는 '스마트 문서조회'와 '연구개발계획서 초안...,https://www.pointdaily.co.kr/news/articleView.html?idxno=289599
2026-01-22 02:50,"파수, 보안 강화한 AI로 KIST 연구·행정 효율화",https://www.newsis.com/view/NISX20260121_0003484637
2026-01-22 02:50,"AI 생성물, 언제·어떻게 표시해야 하나…정부 기준 나왔다",https://view.asiae.co.kr/article/2026012112451263037
2026-01-22 02:50,과학기술정보통신부는 22일 시행되는 '인공지능(AI) 기본법'의 투명성 확보 의무를 구체화한 '인공지능 투명성 확보 가이드라인'을 통해 AI 생성물 표시 기준을 서비스 유형별로 명확히 했다. 과학기술정보통신부는 그간 법률·시행령만으로는 현장 적용이 어렵다는 업계 의견을 반영해 실제 운영 중인 AI 제품...,https://view.asiae.co.kr/article/2026012112451263037
